,RANK,REG,CODE,Airport,Airport location,Passengers 2011,Passengers 2010,% Change,carriers,city,country,direct_flights,elev,email,icao,lat,lon,name,phone,runway_length,state,type,tz,url,woeid
49,50,ASP,MEL,"MELBOURNE, AU (MEL)","MELBOURNE, AU (MEL) Airport",28060111,27731252,1.2,44,Melbourne,Australia,53,434,,YMML,-37.6759,144.844,Melbourne International Airport,,12000,Victoria,Airports,Australia/Melbourne,,23388202
50,51,ASP,NRT,"TOKYO, JP (NRT)","TOKYO, JP (NRT) Airport",28055772,33815906,-20.5,63,Narita-shi,Japan,97,141,,RJAA,35.7491,140.389,Narita International Airport,,13123,Chiba Prefecture,Airports,Asia/Tokyo,http://www.narita-airport.jp,12513999
51,52,EUR,ORY,"PARIS, FR (ORY)","PARIS, FR (ORY) Airport",27139076,25203787,7.1,52,Paris,France,138,292,,LFPO,48.7261,2.36411,Paris Orly Airport,,11975,Ile-de-France,Airports,Europe/Paris,http://www.adp.fr,22144181
52,53,LAC,MEX,"MEXICO CITY, MX (MEX)","MEXICO CITY, MX (MEX) Airport",26368861,24130535,8.5,42,Mexico City,Mexico,98,7341,,MMMX,19.4344,-99.0742,Lic Benito Juarez International Airport,,12619,Distrito Federal,Airports,America/Mexico_City,http://www.aicm.com.mx/,12514910
53,54,EUR,DME,"MOSCOW, RU (DME)","MOSCOW, RU (DME) Airport",25701610,22253529,13.4,71,Podol'sk,Russia,165,512,,UUDD,55.4025,37.9136,Domodedovo Airport,,,Moskovskaya Oblast,Airports,Europe/Moscow,http://www.domodedovo.ru,12515946
54,55,EUR,AYT,"ANTALYA, TR (AYT)","ANTALYA, TR (AYT) Airport",25183142,21857524,13.2,24,Antalya,Turkey,51,167,,LTAI,36.9022,30.7917,Antalya Airport,,11243,Antalya,Airports,Europe/Istanbul,,12517869
55,56,ASP,TPE,"TAIPEI, TW (TPE)","TAIPEI, TW (TPE) Airport",24947551,25114413,-0.7,43,Taoyuan City,Taiwan,52,33,,RCTP,25.081,121.237,Taiwan Taoyuan International Airport,+886 (03) 398-2036,3660,Taiwan Province,Airports,Asia/Taipei,http://www.cksairport.gov.tw/,2306254
56,57,EUR,ZRH,"ZURICH, CH (ZRH)","ZURICH, CH (ZRH) Airport",24283941,22826942,6.0,79,Kloten,Switzerland,161,1416,,LSZH,47.454,8.56137,Zurich International Airport,+41 43 816 22 11,12139,Canton of Zurich,Airports,Europe/Zurich,http://www.zurich-airport.com,22442771
57,58,NAM,LGA,"NEW YORK NY, US (LGA)","NEW YORK NY, US (LGA) Airport",24028400,23980687,0.2,30,Flushing,United States,82,22,,KLGA,40.7731,-73.8756,LaGuardia Airport,,7000,New York,Airports,America/New_York,,12520509
58,59,NAM,FLL,"FORT LAUDERDALE, FL, US (FLL)","FORT LAUDERDALE, FL, US (FLL) Airport",23348804,22406810,4.0,46,Dania Beach,United States,108,11,,KFLL,26.0722,-80.1354,Fort Lauderdale Hollywood International Airport,,9001,Florida,Airports,America/New_York,,12519836
59,60,NAM,IAD,"WASHINGTON, DC, US (IAD)","WASHINGTON, DC, US (IAD) Airport",23056291,23447177,-1.7,63,Washington,United States,150,313,,KIAD,38.9556,-77.4484,Dulles International Airport,703-572-6001,11501,Virginia,Airports,America/New_York,http://www.metwashairports.com/Dulles/,12519544
60,61,EUR,PMI,"PALMA DE MALLORCA, ES (PMI)","PALMA DE MALLORCA, ES (PMI) Airport",22723837,21110092,7.1,57,Palma,Spain,109,15,,LEPA,39.5495,2.73188,Palma de Mallorca Airport,,10728,Balearic Islands,Airports,Europe/Madrid,,23281165
61,62,EUR,CPH,"COPENHAGEN, DK (CPH)","COPENHAGEN, DK (CPH) Airport",22673477,21452464,5.4,76,Kastrup,Denmark,136,17,,EKCH,55.6205,12.6495,Copenhagen Airport,,11811,Hovedstaden,Airports,Europe/Copenhagen,http://www.cph.dk,22851127
62,63,EUR,SVO,"MOSCOW, RU (SVO)","MOSCOW, RU (SVO) Airport",22555309,19329185,14.3,48,Zelenograd,Russia,140,623,,UUEE,55.9621,37.4189,Sheremtyevo Airport,,12139,Moskovskaya Oblast,Airports,Europe/Moscow,http://www.sheremetyevo-airport.ru,12516860
63,64,NAM,BWI,"BALTIMORE MD, US (BWI)","BALTIMORE MD, US (BWI) Airport",22395638,21951650,2.0,39,Baltimore,United States,79,146,,KBWI,39.1841,-76.6745,Baltimore-Washington International Thurgood Mars,410-859-7111,9519,Maryland,Airports,America/New_York,http://www.bwiairport.com,12522341
64,65,ASP,KMG,"KUNMING, CN (KMG)","KUNMING, CN (KMG) Airport",22272776,20194754,9.3,27,Kunming,China,62,6235,,ZPPP,24.966,102.733,Wuchia Pa Airport,,9840,Yunnan,Airports,Asia/Shanghai,,12512231
65,66,EUR,VIE,"VIENNA, AT (VIE)","VIENNA, AT (VIE) Airport",21106330,19691206,6.7,96,Klein-Neusiedl,Austria,183,600,,LOWW,48.1036,16.5804,Vienna Schwechat International Airport,,11811,Lower Austria,Airports,Europe/Vienna,http://www.viennaairport.com,22022012
66,67,EUR,OSL,"OSLO, NO (OSL)","OSLO, NO (OSL) Airport",21092873,19091113,9.5,59,Gardermoen,Norway,116,681,,ENGM,60.1947,11.1005,Oslo Gardermoen Airport,+47 64812000,11811,Akershus Fylke,Airports,Europe/Oslo,http://www.osl.no,12515119
67,68,MEA,JED,"JEDDAH, SA (JED)","JEDDAH, SA (JED) Airport",20929686,17913975,14.4,54,Jeddah,Saudi Arabia,106,48,,OEJN,21.706,39.1386,King Abdul Aziz International Airport,,12467,Makka,Airports,Asia/Riyadh,,23388353
68,69,ASP,BNE,"BRISBANE, AU (BNE)","BRISBANE, AU (BNE) Airport",20589207,20020966,2.8,43,Brisbane,Australia,62,13,,YBBN,-27.3589,153.122,Brisbane International Airport,+61 7 3406 3000,11483,Queensland,Airports,Australia/Brisbane,http://www.bne.com.au/,23388207
69,70,NAM,SLC,"SALT LAKE CITY UT, US (SLC)","SALT LAKE CITY UT, US (SLC) Airport",20440913,20987646,-2.7,38,Salt Lake City,United States,104,4226,,KSLC,40.7862,-111.982,Salt Lake City International Airport,,12003,Utah,Airports,America/Denver,,12521709
70,71,EUR,DUS,"DÜSSELDORF, DE (DUS)","DÜSSELDORF, DE (DUS) Airport",20339466,18988489,6.6,74,Dusseldorf,Germany,167,147,,EDDL,51.2794,6.76481,Dusseldorf International Airport,,9842,North Rhine-Westphalia,Airports,Europe/Berlin,http://www.duesseldorf-international.de/,23024911
71,72,LAC,BOG,"BOGOTA, CO (BOG)","BOGOTA, CO (BOG) Airport",20327901,18827118,7.4,30,Fontibón,Colombia,64,8356,,SKBO,4.69895,-74.1435,Eldorado International Airport,,12467,Distrito Especial,Airports,America/Bogota,http://www.aerocivil.gov.co/plan%20maestro/index.htm,12512375
72,73,EUR,MXP,"MILAN, IT (MXP)","MILAN, IT (MXP) Airport",19291427,18947808,1.8,109,Cardano al Campo,Italy,163,768,,LIMC,45.6314,8.72284,Malpensa International Airport,,12844,Lombardy,Airports,Europe/Rome,http://www.sea-aeroportimilano.it/,22306432
73,74,AFR,JNB,"JOHANNESBURG, ZA (JNB)","JOHANNESBURG, ZA (JNB) Airport",19114384,18565250,2.9,63,Johannesburg,South Africa,89,5512,,FAJS,-26.1219,28.2467,OR Tambo International Airport,+27 (0)11 921 6262,14495,Gauteng,Airports,Africa/Johannesburg,http://www.airports.co.za/home.asp?pid=1147,12517424
74,75,EUR,ARN,"STOCKHOLM, SE (ARN)","STOCKHOLM, SE (ARN) Airport",19088363,16988614,11.0,76,Märst,Sweden,126,123,,ESSA,59.6521,17.9317,Arlanda Airport,+46 8 797 6000,10827,Stockholm,Airports,Europe/Stockholm,http://www.arlanda.se,12517610
75,76,EUR,MAN,"MANCHESTER, GB (MAN)","MANCHESTER, GB (MAN) Airport",18991503,17873023,5.9,79,Manchester,United Kingdom,129,256,,EGCC,53.365,-2.27089,Manchester International Airport,+44 (0) 161 489 3000,10000,England,Airports,Europe/London,http://www.manchesterairport.co.uk,22478032
76,77,NAM,MDW,"CHICAGO IL, US (MDW)","CHICAGO IL, US (MDW) Airport",18882549,17647771,6.5,8,Chicago,United States,55,619,,KMDW,41.7875,-87.7416,Chicago Midway International Airport,,6519,Illinois,Airports,America/Chicago,,12519178
77,78,NAM,DCA,"WASHINGTON DC, US (DCA)","WASHINGTON DC, US (DCA) Airport",18811335,18105802,3.8,42,Arlington,United States,77,16,,KDCA,38.849,-77.0438,Washington National Airport,703 417 80 00,6869,Virginia,Airports,America/New_York,http://metwashairports.com/reagan,12522343
78,79,EUR,BRU,"BRUSSELS, BE (BRU)","BRUSSELS, BE (BRU) Airport",18756885,17149416,8.6,97,Bruxelles,Belgium,186,184,,EBBR,50.899,4.4859,Brussels Airport,+32 (0) 900 7 0000,9790,Vlaams Brabant,Airports,Europe/Brussels,http://www.brusselsairport.be,22103751
79,80,EUR,DUB,"DUBLIN, IE (DUB)","DUBLIN, IE (DUB) Airport",18735944,18431678,1.6,54,Cloghran,Ireland,167,222,,EIDW,53.4272,-6.24418,Dublin Airport,+353 1 8141111,7499,,Airports,Europe/Dublin,http://www.dub.aero,23388266
80,81,ASP,GMP,"SEOUL, KR (GMP)","SEOUL, KR (GMP) Airport",18513982,17575244,5.1,9,Seoul,South Korea,10,,,RKSS,37.5563,126.793,Gimpo International Airport,,,Seoul,Airports,Asia/Seoul,,23388324
81,82,MEA,DOH,"DOHA, QA (DOH)","DOHA, QA (DOH) Airport",18202649,15863292,12.9,43,Doha,Qatar,87,35,,OTBD,25.2592,51.5658,Doha International Airport,,15000,Doha,Airports,Asia/Qatar,,12515487
82,83,EUR,STN,"LONDON, GB (STN)","LONDON, GB (STN) Airport",18046777,18574204,-2.9,25,Stansted Mountfitchet,United Kingdom,168,347,,EGSS,51.8894,0.26151,London Stansted International Airport,,10000,England,Airports,Europe/London,http://www.stanstedairport.com/,22489156
83,84,ASP,HGH,"HANGZHOU, CN (HGH)","HANGZHOU, CN (HGH) Airport",17512034,17068585,2.5,28,Hangzhou,China,46,,,ZSHC,30.3332,120.234,Jianoiao Airport,,,Zhejiang,Airports,Asia/Shanghai,,12512090
84,85,ASP,CJU,"JEJU, KR (CJU)","JEJU, KR (CJU) Airport",17202278,15724770,8.6,8,Jeju-Si,South Korea,19,126,,RKPC,33.5056,126.495,Cheju International Airport,,9800,Jaeju-Do,Airports,Asia/Seoul,,12514202
85,86,NAM,YVR,"VANCOUVER BC, CA (YVR)","VANCOUVER BC, CA (YVR) Airport",17193080,16926870,1.5,54,Richmond,Canada,92,9,,CYVR,49.1931,-123.172,Vancouver International Airport,,11500,British Columbia,Airports,America/Vancouver,http://www.yvr.ca/,12511894
86,87,EUR,TXL,"BERLIN, DE (TXL)","BERLIN, DE (TXL) Airport",16919820,15025600,11.2,70,Berlin,Germany,101,121,,EDDT,52.5548,13.289,Berlin-Tegel International Airport,"0180 5000 186 (0,12 Euro",9918,Berlin,Airports,Europe/Berlin,http://www.berlin-airport.de/PubEnglish/PubTegel/index.php?,22164086
87,88,NAM,SAN,"SAN DIEGO CA, US (SAN)","SAN DIEGO CA, US (SAN) Airport",16836027,16901322,-0.4,57,San Diego,United States,51,15,,KSAN,32.7299,-117.195,San Diego International Airport,(619) 231 2100,9400,California,Airports,America/Los_Angeles,http://www.san.org/,12520660
88,89,NAM,TPA,"TAMPA FL, US (TPA)","TAMPA FL, US (TPA) Airport",16732051,16645765,0.5,48,Tampa,United States,74,26,,KTPA,27.9744,-82.5356,Tampa International Airport,1(813)870-8770,11002,Florida,Airports,America/New_York,http://www.tampaairport.com/,12522077
89,90,LAC,CGH,"SÃO PAULO, BR (CGH)","SÃO PAULO, BR (CGH) Airport",16687731,15441789,7.5,6,Sao Paulo,Brazil,26,2631,,SBSP,-23.6285,-46.6589,Congonhas International Airport,,6362,Sao Paulo,Airports,America/Sao_Paulo,,23388212
90,91,LAC,BSB,"BRASILIA, BR (BSB)","BRASILIA, BR (BSB) Airport",15801122,14824113,6.2,10,Lago Sul,Brazil,32,3473,,SBBR,-15.8622,-47.9122,Juscelino Kubitschek International Airport,,10499,Distrito Federal,Airports,America/Sao_Paulo,http://www.infraero.gov.br/,12511058
91,92,ASP,CTS,"SAPPORO, JP (CTS)","SAPPORO, JP (CTS) Airport",15773073,16745235,-6.2,28,Chitose-shi,Japan,30,87,,RJCC,42.7757,141.691,New Chitose Airport,,9843,Hokkaido Prefecture,Airports,Asia/Tokyo,,12523091
92,93,ASP,XMN,"XIAMEN, CN (XMN)","XIAMEN, CN (XMN) Airport",15753183,13248367,15.9,33,Xiamen,China,55,59,,ZSAM,24.5333,118.117,Xiamen Airport,,7054,Fujian,Airports,Asia/Shanghai,,12523266
93,94,MEA,RUH,"RIYADH, SA (RUH)","RIYADH, SA (RUH) Airport",15432950,14136837,8.4,35,Riyadh,Saudi Arabia,71,2082,,OERK,24.9625,46.7078,King Khalid International Airport,,13287,Ar Riyad,Airports,Asia/Riyadh,,12517349
94,95,ASP,FUK,"FUKUOKA, JP (FUK)","FUKUOKA, JP (FUK) Airport",15431078,16404617,-6.3,31,Fukuoka-shi,Japan,36,30,,RJFF,33.5971,130.443,Fukuoka Airport,,9250,Fukuoka Prefecture,Airports,Asia/Tokyo,,23388316
95,96,LAC,GIG,"RIO DE JANEIRO, BR (GIG)","RIO DE JANEIRO, BR (GIG) Airport",15184350,12605637,17.0,25,Rio de Janeiro,Brazil,32,30,,SBGL,-22.8094,-43.25,Rio de Janeiro-Antonio Carlos Jobim Internationa,+55(21)3398-5050,13123,Rio de Janeiro,Airports,America/Sao_Paulo,,12511292
96,97,EUR,HEL,"HELSINKI, FI (HEL)","HELSINKI, FI (HEL) Airport",14851675,12866036,13.4,53,Vantaa,Finland,104,179,,EFHK,60.3243,24.9688,Helsinki Vantaa Airport,+358 200 14636,11286,Southern Finland,Airports,Europe/Helsinki,http://www.helsinki-vantaa.fi/,12512766
97,98,EUR,LIS,"LISBON, PT (LIS)","LISBON, PT (LIS) Airport",14791260,14058751,5.0,57,Lisbon,Portugal,92,374,,LPPT,38.7701,-9.13775,Lisbon Airport,+351 218 413 500,12484,Lisbon,Airports,Europe/Lisbon,http://www.ana.pt,22405520
98,99,EUR,ATH,"ATHENS, GR (ATH)","ATHENS, GR (ATH) Airport",14428032,15390156,-6.7,81,Athens,Greece,117,308,,LGAV,37.8937,23.7235,Eleftherios Venizelos International Airport,0030 210 353 0001,13123,Attiki,Airports,Europe/Athens,http://www.aia.gr,12513286
99,100,ASP,AKL,"AUCKLAND, NZ (AKL)","AUCKLAND, NZ (AKL) Airport",14012329,13705116,2.2,35,Manukau City,New Zealand,52,23,,NZAA,-37.0085,174.782,Auckland International Airport,+64 9 256 8899,10800,Auckland,Airports,Pacific/Auckland,http://www.auckland-airport.co.nz/,12515151
