1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
33.6558,40.0724,51.4703,41.9796,35.5533,33.9456,49.0175,32.9222,50.0483,22.3124,39.8396,25.2509,-6.11964,52.3122,40.4684,13.9144,40.6437,1.3578,23.3925,36.0806,31.1156,37.6148,33.4376,29.9784,35.2226,25.7953,48.354,2.77859,41.8026,40.9857,-33.9344,28.4418,37.4534,28.5603,41.3006,51.1568,40.6924,43.685,31.1865,44.8793,47.4405,42.2327,39.8768,19.0932,-23.435,14.5114,30.5775,42.3717,22.5333,-37.6759,35.7491,48.7261,19.4344,55.4025,36.9022,25.081,47.454,40.7731,26.0722,38.9556,39.5495,55.6205,55.9621,39.1841,24.966,48.1036,60.1947,21.706,-27.3589,40.7862,51.2794,4.69895,45.6314,-26.1219,59.6521,53.365,41.7875,38.849,50.899,53.4272,37.5563,25.2592,51.8894,30.3332,33.5056,49.1931,52.5548,32.7299,27.9744,-23.6285,-15.8622,42.7757,24.5333,24.9625,33.5971,-22.8094,60.3243,38.7701,37.8937,-37.0085
-84.4333,116.583,-0.45342,-87.8825,139.771,-118.391,2.5564,-97.0409,8.57041,113.929,-104.672,55.3629,106.656,4.77511,-3.56769,100.608,-73.79,103.991,113.299,-115.143,121.803,-122.392,-112.03,-95.3424,-80.946,-80.2727,11.7816,101.689,12.2551,28.8163,151.168,-81.3115,126.657,77.1027,2.07976,-0.16988,-74.1843,-79.6142,121.34,-93.1987,-122.296,-83.3412,-75.2419,72.8654,-46.4728,121.016,103.941,-71.0281,113.967,144.844,140.389,2.36411,-99.0742,37.9136,30.7917,121.237,8.56137,-73.8756,-80.1354,-77.4484,2.73188,12.6495,37.4189,-76.6745,102.733,16.5804,11.1005,39.1386,153.122,-111.982,6.76481,-74.1435,8.72284,28.2467,17.9317,-2.27089,-87.7416,-77.0438,4.4859,-6.24418,126.793,51.5658,0.26151,120.234,126.495,-123.172,13.289,-117.195,-82.5356,-46.6589,-47.9122,141.691,118.117,46.7078,130.443,-43.25,24.9688,-9.13775,23.7235,174.782
Hartsfield-Jackson Atlanta International Airport,Beijing Capital Airport,London Heathrow Airport,Chicago O'Hare International Airport,Tokyo International Airport,Los Angeles International Airport,Charles de Gaulle International Airport,Fort Worth International Airport,Frankfurt International Airport,Hong Kong International Airport,Denver International Airport,Dubai International Airport,Jakarta International Airport,Schiphol Airport,Barajas Airport,Bangkok International Airport,John F Kennedy International Airport,Singapore Changi Airport,Baiyun Airport,Mccarran International Airport,Pudong International Airport,San Francisco International Airport,Sky Harbor International Airport,George Bush Intercontinental Airport,Douglas International Airport,Miami International Airport,Franz-Josef-Strauss Airport,Kuala Lumpur International Airport,Leonardo da Vinci International Airport,Ataturk Hava Limani Airport,Kingsford Smith Airport,Orlando International Airport,New Incheon International Airport,Indira Gandhi International Airport,Barcelona International Airport,London Gatwick Airport,Newark International Airport,Toronto Lester B Pearson International Airport,Hongqiao Airport,Minneapolis St Paul International Airport,Tacoma International Airport,Detroit Metropolitan Wayne County Airport,Philadelphia International Airport,Chhatrapati Shivaji International Airport,Governador Andre Franco Montoro International Ai,Ninoy Aquino International Airport,Chengdushuang Liu Airport,Gen E L Logan International Airport,Shenzhen Airport,Melbourne International Airport,Narita International Airport,Paris Orly Airport,Lic Benito Juarez International Airport,Domodedovo Airport,Antalya Airport,Taiwan Taoyuan International Airport,Zurich International Airport,LaGuardia Airport,Fort Lauderdale Hollywood International Airport,Dulles International Airport,Palma de Mallorca Airport,Copenhagen Airport,Sheremtyevo Airport,Baltimore-Washington International Thurgood Mars,Wuchia Pa Airport,Vienna Schwechat International Airport,Oslo Gardermoen Airport,King Abdul Aziz International Airport,Brisbane International Airport,Salt Lake City International Airport,Dusseldorf International Airport,Eldorado International Airport,Malpensa International Airport,OR Tambo International Airport,Arlanda Airport,Manchester International Airport,Chicago Midway International Airport,Washington National Airport,Brussels Airport,Dublin Airport,Gimpo International Airport,Doha International Airport,London Stansted International Airport,Jianoiao Airport,Cheju International Airport,Vancouver International Airport,Berlin-Tegel International Airport,San Diego International Airport,Tampa International Airport,Congonhas International Airport,Juscelino Kubitschek International Airport,New Chitose Airport,Xiamen Airport,King Khalid International Airport,Fukuoka Airport,Rio de Janeiro-Antonio Carlos Jobim Internationa,Helsinki Vantaa Airport,Lisbon Airport,Eleftherios Venizelos International Airport,Auckland International Airport
(654) 57 8833,,+44 (0)8700 000698,,,,,,+49 69 690 0,+852 2188 7111,,+971 4 216 2525,+62 (0)21 550 5179,+31-207940800,00 34 902 404 704,,,(65) 6542 1122,0086-020-86120000,(702) 261-5211,,(650) 821-8211,,,,(305) 876-7000,,+603 8776 4386,+39 06 65951,,,,,,,0870 000 2468,,,,,,,,,,,0086-28-85702649 / 0086-,,0086-755-27776047,,,,,,,+886 (03) 398-2036,+41 43 816 22 11,,,703-572-6001,,,,410-859-7111,,,+47 64812000,,+61 7 3406 3000,,,,,+27 (0)11 921 6262,+46 8 797 6000,+44 (0) 161 489 3000,,703 417 80 00,+32 (0) 900 7 0000,+353 1 8141111,,,,,,,"0180 5000 186 (0,12 Euro",(619) 231 2100,1(813)870-8770,,,,,,,+55(21)3398-5050,+358 200 14636,+351 218 413 500,0030 210 353 0001,+64 9 256 8899
11889,12467,12802,13000,,12091,11811,11388,13123,12467,12000,13123,12008,12467,13451,12139,14572,13200,11000,12636,,11870,11001,12001,10000,13000,13100,4000,12795,9842,13000,12004,12300,12500,11001,10364,11000,11120,10500,11006,11900,10501,10500,11446,12140,11004,,10081,3400,12000,13123,11975,12619,,11243,3660,12139,7000,9001,11501,10728,11811,12139,9519,9840,11811,11811,12467,11483,12003,9842,12467,12844,14495,10827,10000,6519,6869,9790,7499,,15000,10000,,9800,11500,9918,9400,11002,6362,10499,9843,7054,13287,9250,13123,11286,12484,13123,10800
Georgia,Beijing,England,Illinois,Tokyo Prefecture,California,Ile-de-France,Texas,Hesse,Hong Kong Island,Colorado,Dubai,Banten,North Holland,Madrid,Bangkok,New York,South East,Guangdong,Nevada,Shanghai,California,Arizona,Texas,North Carolina,Florida,Bavaria,Putrajaya,Lazio,Istanbul,New South Wales,Florida,Incheon,Madhya Pradesh,Catalonia,England,New Jersey,Ontario,Shanghai,Minnesota,Washington,Michigan,Pennsylvania,Maharashtra,Sao Paulo,National Capital Region,Sichuan,Massachusetts,Guangdong,Victoria,Chiba Prefecture,Ile-de-France,Distrito Federal,Moskovskaya Oblast,Antalya,Taiwan Province,Canton of Zurich,New York,Florida,Virginia,Balearic Islands,Hovedstaden,Moskovskaya Oblast,Maryland,Yunnan,Lower Austria,Akershus Fylke,Makka,Queensland,Utah,North Rhine-Westphalia,Distrito Especial,Lombardy,Gauteng,Stockholm,England,Illinois,Virginia,Vlaams Brabant,,Seoul,Doha,England,Zhejiang,Jaeju-Do,British Columbia,Berlin,California,Florida,Sao Paulo,Distrito Federal,Hokkaido Prefecture,Fujian,Ar Riyad,Fukuoka Prefecture,Rio de Janeiro,Southern Finland,Lisbon,Attiki,Auckland
Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports,Airports
America/New_York,Asia/Shanghai,Europe/London,America/Chicago,Asia/Tokyo,America/Los_Angeles,Europe/Paris,America/Chicago,Europe/Berlin,Asia/Hong_Kong,America/Denver,Asia/Dubai,Asia/Jakarta,Europe/Amsterdam,Europe/Madrid,Asia/Bangkok,America/New_York,Asia/Singapore,Asia/Chongqing,America/Los_Angeles,Asia/Shanghai,America/Los_Angeles,America/Phoenix,America/Chicago,America/New_York,America/New_York,Europe/Berlin,Asia/Kuala_Lumpur,Europe/Rome,Europe/Istanbul,Australia/Sydney,America/New_York,Asia/Seoul,Asia/Kolkata,Europe/Madrid,Europe/London,America/New_York,America/Toronto,Asia/Shanghai,America/Chicago,America/Los_Angeles,America/New_York,America/New_York,Asia/Kolkata,America/Sao_Paulo,Asia/Manila,Asia/Shanghai,America/New_York,Asia/Shanghai,Australia/Melbourne,Asia/Tokyo,Europe/Paris,America/Mexico_City,Europe/Moscow,Europe/Istanbul,Asia/Taipei,Europe/Zurich,America/New_York,America/New_York,America/New_York,Europe/Madrid,Europe/Copenhagen,Europe/Moscow,America/New_York,Asia/Shanghai,Europe/Vienna,Europe/Oslo,Asia/Riyadh,Australia/Brisbane,America/Denver,Europe/Berlin,America/Bogota,Europe/Rome,Africa/Johannesburg,Europe/Stockholm,Europe/London,America/Chicago,America/New_York,Europe/Brussels,Europe/Dublin,Asia/Seoul,Asia/Qatar,Europe/London,Asia/Shanghai,Asia/Seoul,America/Vancouver,Europe/Berlin,America/Los_Angeles,America/New_York,America/Sao_Paulo,America/Sao_Paulo,Asia/Tokyo,Asia/Shanghai,Asia/Riyadh,Asia/Tokyo,America/Sao_Paulo,Europe/Helsinki,Europe/Lisbon,Europe/Athens,Pacific/Auckland
http://www.atlanta-airport.com/,http://www.bcia.com.cn,http://www.heathrowairport.com,http://www.flychicago.com/ohare/home.asp,http://www.tokyo-airport-bldg.co.jp/,,,,http://www.airportcity-frankfurt.de,http://www.hongkongairport.com/,,http://www.dubaiairport.com,http://www.angkasapura2.co.id,http://www.schiphol.com/,,http://www.airportthai.co.th/airportnew/bia/html/,,http://www.changiairport.com.sg/,,http://www.mccarran.com,,http://www.flysfo.com,http://phoenix.gov/Ahttp://phoenix.gov/aviation,,http://www.charmeck.org/Departments/Airport/Home.htm,http://www.miami-airport.com,http://www.munich-airport.de/,http://www.klia.com.my/,http://www.adr.it/,,,,http://www.airport.or.kr/eng/airport/,,http://www.aena.es,http://www.gatwickairport.com/,,http://www.gtaa.com/,,http://mspairport.com,http://www.portseattle.org/seatac/,http://www.metroairport.com/,http://www.phl.org,http://www.airportsindia.org.in/aai/mumbai/index.htm,,,http://www.cdairport.com/cdairport/en_front/index.jsp,,http://www.szairport.com/index_e.asp,,http://www.narita-airport.jp,http://www.adp.fr,http://www.aicm.com.mx/,http://www.domodedovo.ru,,http://www.cksairport.gov.tw/,http://www.zurich-airport.com,,,http://www.metwashairports.com/Dulles/,,http://www.cph.dk,http://www.sheremetyevo-airport.ru,http://www.bwiairport.com,,http://www.viennaairport.com,http://www.osl.no,,http://www.bne.com.au/,,http://www.duesseldorf-international.de/,http://www.aerocivil.gov.co/plan%20maestro/index.htm,http://www.sea-aeroportimilano.it/,http://www.airports.co.za/home.asp?pid=1147,http://www.arlanda.se,http://www.manchesterairport.co.uk,,http://metwashairports.com/reagan,http://www.brusselsairport.be,http://www.dub.aero,,,http://www.stanstedairport.com/,,,http://www.yvr.ca/,http://www.berlin-airport.de/PubEnglish/PubTegel/index.php?,http://www.san.org/,http://www.tampaairport.com/,,http://www.infraero.gov.br/,,,,,,http://www.helsinki-vantaa.fi/,http://www.ana.pt,http://www.aia.gr,http://www.auckland-airport.co.nz/
12522118,12511989,23382429,12521200,23388311,12520706,22140453,12519786,22981759,24875607,12523052,23388362,23388291,22386730,12517539,12517747,12520380,12517525,12511984,12520849,23428057,12521721,12521872,12520245,12519519,12520923,22923040,28752278,22318195,23388365,23388205,12521243,24554859,12513599,22411879,23387567,12521127,12511883,23388248,12520966,12522066,12519481,12521360,12513559,12511170,12515637,12512010,12519874,12523239,23388202,12513999,22144181,12514910,12515946,12517869,2306254,22442771,12520509,12519836,12519544,23281165,22851127,12516860,12522341,12512231,22022012,12515119,23388353,23388207,12521709,23024911,12512375,22306432,12517424,12517610,22478032,12519178,12522343,22103751,23388266,23388324,12515487,22489156,12512090,12514202,12511894,22164086,12520660,12522077,23388212,12511058,12523091,12523266,12517349,23388316,12511292,12512766,22405520,12513286,12515151
